image,Ground_Truth,Model_Response,BLEU_4,BERTScore_F1,SBERT_Sim,Length_Diff
sm_1.jpg,"You are indoors in a clothing store, facing a long wall of hanging winter jackets directly in front of you. Stop briefly and orient yourself. The jackets hang at chest to waist height and form a continuous row, which blocks forward movement. On the lower left side, about three steps away, there is a plastic chair that could be an obstacle. The floor is flat and smooth. If you want to move forward along the aisle, turn slightly to your right and take slow steps, keeping your cane low to detect the chair legs and the base of the clothing rack. Move carefully, as the space is narrow near the racks.","In front of you, there is a white chair positioned on the left side of the image. The chair is empty and appears to be the main focus of the scene. The chair is placed in front of a rack filled with various jackets, which are hanging on a wall. The jackets come in different colors and sizes, creating a diverse and visually interesting display. The arrangement of the jackets and the chair creates a sense of depth and balance in the image.",0.0253,0.8604,0.5049,-28
sm_10.jpg,"You are standing near a compact jewelry display area. Directly ahead, there is a tall mirror and a display labeled “Jewellery,” with small accessory items hanging on panels. To your left, shelves with cosmetic products are arranged closely, with many small items. In front of you, there is a single high stool, which is a low-level obstacle. To your right, there are steps going upward, indicating a staircase. Stop and orient yourself. If you move, avoid stepping forward into the stool, and keep your cane low to detect the stair edge on the right.","In front of you, there is a black chair placed on a white tile floor. The chair is positioned in the center of the room, and it appears to be the main focus of the scene. There is a person standing in the background, taking a picture of the chair. The person is located towards the right side of the room, and their presence adds an element of human interaction to the otherwise empty space.",0.0851,0.8521,0.4439,-19
sm_100.jpg,"You are standing inside store nearer to shelves which are filled with packaged biscuits, cookies, wafers, and snack packs, stacked from knee height up to above head level. At the center corner, there is a tall red display stand holding green Oreo biscuit boxes, arranged neatly in rows. The floor is light-colored and open, but a cardboard box with snack packets lies near the bottom shelf, which could be an obstacle. On the right side, a person wearing a maroon shirt and light blue jeans is walking past the display, partially blocking the view. The aisle is moderately wide, with bright indoor lighting and clearly organized packaged snacks on both sides.","In the image, there is a man walking in a grocery store, passing by a display of green bottles. The man is wearing a red shirt and blue jeans. The grocery store has a variety of items on display, including a shelf with multiple bottles on it. There is also a person standing near the left edge of the image, possibly browsing the store or waiting for someone. The overall atmosphere of the scene is that of a typical grocery store setting.",0.0184,0.8606,0.5739,-29
sm_11.jpg,"You are inside a small shop, facing a tall metal rack filled with packaged snacks. Multiple shelves hold items like chips and snacks at chest to knee height. Some packages include printed prices such as “50 rupees.” The rack blocks forward movement. To your right, a counter area and other customers are nearby, creating a narrow passage. The floor is uneven in places. If you want to continue, turn slightly to one side and move carefully, scanning for people and rack legs.","In front of you, there is a display of snacks, including chips and crackers, arranged on a shelf. The shelf is filled with various snack items, making it an inviting sight for customers. A person is standing behind the display, possibly attending to customers or managing the snack area. The overall scene appears to be a store or a snack bar where people can purchase and enjoy these tasty treats.",0.0095,0.8673,0.6282,-12
sm_12.jpg,"You are near a shop entrance, facing a snack display rack filled with chip packets, including well-known brands. A large branded freezer with an ice-cream logo is placed to the right, forming a solid obstacle. The floor has patterned tiles and appears slightly uneven. The snack rack blocks direct forward movement. If you need to pass through, turn gently left to avoid the rack and proceed slowly.","As a blind person, you are standing in front of a red cart filled with various snacks. The cart is placed on a tile floor, and there are several shelves on display, each containing different snack options. The shelves are arranged in a way that allows you to easily access and choose from the available snacks. The cart is positioned in the middle of the scene, making it the main focus of the image.",0.012,0.8657,0.5535,7
sm_13.jpg,"You are inside a shopping mall area with open space and tiled flooring. Directly ahead, there is a vertical promotional stand with a large printed image and text reading “Joban,” including contact details near the bottom. Clothing is displayed on racks behind the stand. Several people are nearby and moving slowly. The stand is a solid obstacle in your path. Stop briefly, then move around it by keeping slightly to the left, and proceed with caution due to foot traffic.","In the image, there is a woman standing in front of a display of clothing, possibly a store or a market. She is reaching for a shirt hanging on a rack. There are several other people in the scene, some of them standing near the woman and others further away. The environment appears to be a busy area with people shopping or browsing through the available clothing. The woman is focused on selecting a shirt, while the other people are engaged in their own activities. The overall atmosphere seems lively and bustling.",0.0208,0.8564,0.597,12
sm_14.jpg,"You are in an open mall area with temporary stalls placed on the floor. Tables covered with items are positioned ahead and to both sides, narrowing the walking space. An escalator is located ahead and to the left, moving upward. People, including children, are standing and walking nearby, creating unpredictable movement. The floor is flat but busy. Stop and orient yourself. If you move forward, keep your cane low, walk slowly, and be prepared to pause for moving people or the escalator entrance.","In front of you, there is a table with various items on it, including a bowl and a handbag. A woman is standing near the table, possibly browsing the items. There are also other people in the scene, some of whom are standing or walking around. The environment appears to be a busy area, possibly a market or a shopping center.",0.0078,0.8656,0.3556,-22
sm_15.jpg,"You are inside a bright store area facing a central display table with handbags arranged at waist height. In front-right of you, several rolling suitcases are lined up on the floor, which can block forward movement. Along the back wall, many shoes are displayed neatly on shelves from knee to head height. The floor is smooth. If you move forward, keep slightly left to avoid the suitcases and keep your cane moving to find luggage wheels in your way.","In front of you, there is a store filled with various items. A large display of handbags is prominently featured, with different colors and sizes. Some handbags are placed on a shelf, while others are placed on the floor. There are also suitcases and a clock in the store. There are several people in the store, with one man standing near the handbags and another man standing near the suitcases. A woman is also present in the store, possibly browsing the items or assisting customers. The store appears to be well-stocked and organized, making it an inviting space for shoppers.",0.0094,0.8617,0.5161,21
sm_16.jpg,"You are standing close to a wall of formal shoes arranged on shelves at knee to chest height. Small signs above the shelves read “Flat 10,” indicating a discount. The shelves extend slightly outward and can be bumped into. A person is standing to the right side nearby. Stop and explore the shoes by hand if interested, otherwise step back carefully before turning.","In front of you, there is a shoe store with a large display of shoes. The shoes are arranged in rows, with some placed on a shelf and others on the floor. The shoes come in various styles and colors, creating an eye-catching and diverse collection. A person can be seen in the background, possibly browsing the shoe selection or assisting customers. The overall atmosphere of the scene is that of a well-organized and inviting shoe store.",0.0115,0.8584,0.652,14
sm_17.jpg,"You are in a long, well-lit aisle with shelves of handbags on your left side, 10 steps ahead and shoes on the right, arranged at waist to head height. Several overhead signs read “20” and “50,” indicating discount sections. The center path is clear and wide. You can walk forward safely, staying centered and using your cane to track shelf bases.","As a blind person, I am standing in a room with a large display of shoes and handbags. The shoes are arranged on shelves, and there are several handbags placed throughout the room. The room appears to be well-lit, and the shoes and handbags are the main objects in the scene. There are no people visible in the image.",0.0108,0.8545,0.403,-2
